EQUIPMENTID,TIME_OF_DAY,TOTAL_VOLUME,AVG_SPEED_ARITHMETIC,AVG_SPEED_HARMONIC,AVG_LENGTH,AVG_SPACING,OCCUPANCY
121754_D,19:25:00,251.1738382099828,73.352082616179,69.73180722891566,450.74154905335627,45.168571428571425,16.747177280550776
121754_D,19:30:00,241.6024096385542,74.04979345955249,70.49256454388984,452.1043201376936,47.97531841652324,15.994509466437176
121754_D,19:35:00,239.25989672977624,74.27339070567987,70.65729776247848,452.9902925989673,48.57850258175559,15.801858864027537
121754_D,19:40:00,237.51635111876075,74.48516351118761,71.12103270223751,451.42196213425126,49.03810671256454,15.59223752151463
121754_D,19:45:00,232.2581755593804,74.76869191049914,71.3539586919105,451.6883993115319,50.79972461273666,15.169277108433736
121754_D,19:50:00,222.86574870912222,75.38679862306368,72.06745266781412,452.1482099827883,53.7384165232358,14.433132530120481
121754_D,19:55:00,213.12392426850258,76.24067125645439,72.61924268502581,452.10681583476764,57.21550774526678,13.738984509466437
121754_D,20:00:00,203.27538726333907,76.77466437177281,73.44512908777969,452.40843373493976,60.845817555938034,12.969931153184165
121754_D,20:05:00,199.25989672977624,77.0604991394148,73.67552495697075,452.1867641996558,62.61819277108433,12.594457831325302
121754_D,20:10:00,196.1962134251291,77.3248709122203,73.8574182444062,450.80359724612737,63.96122203098107,12.361170395869191
121754_D,20:15:00,188.17555938037864,77.92729776247849,74.56931153184165,451.4537005163511,67.45208261617901,11.748055077452667
121754_D,20:20:00,175.01893287435456,78.62660929432013,75.31826161790018,450.68734939759037,73.89111876075731,10.755215146299482
121754_D,20:25:00,165.7934595524957,79.08351118760757,75.7633734939759,452.32552495697075,79.41901893287435,10.155955249569708
121754_D,20:30:00,154.40275387263338,79.51061962134251,76.29413080895009,452.07889845094667,86.80569707401033,9.39328743545611
121754_D,20:35:00,147.34251290877796,79.84588640275388,76.70440619621343,451.4417728055077,91.26289156626505,8.935731497418244
121754_D,20:40:00,141.63511187607574,79.9227882960413,76.8834595524957,451.2375387263339,96.38018932874354,8.557005163511187
121754_D,20:45:00,136.16523235800344,80.01244406196214,77.02573149741823,450.12165232358,100.71762478485371,8.209191049913942
121754_D,20:50:00,128.45438898450948,80.27297762478486,77.19168674698795,450.27117039586915,107.23222030981067,7.7044922547332195
121754_D,20:55:00,122.68846815834767,80.1081239242685,77.13118760757315,450.1980034423408,113.46956970740105,7.371067125645439
121754_D,21:00:00,115.14802065404476,80.06170395869191,77.18230636833046,449.71777969018933,121.15969018932874,6.930017211703959
121754_D,21:05:00,112.89672977624785,80.03468158347677,77.04406196213425,450.14769363166954,123.57764199655766,6.7946987951807225
121754_D,21:10:00,114.27194492254733,79.94388984509467,77.06535283993115,448.02342512908774,121.82194492254733,6.850619621342513
121754_D,21:15:00,113.62306368330465,79.94060240963854,77.097504302926,448.13160068846815,122.19717728055078,6.820378657487091
121754_D,21:20:00,111.55670103092784,79.66905498281787,76.64991408934708,448.1280927835051,125.36132302405497,6.728436426116838
121754_D,21:25:00,107.47594501718213,79.73646048109966,76.89297250859106,447.6685738831615,129.25101374570446,6.465051546391752
121754_D,21:30:00,102.45017182130584,79.96420962199312,77.05709621993128,447.6255326460481,137.4233676975945,6.154209621993127
121754_D,21:35:00,101.23367697594502,80.01639175257732,77.18874570446735,447.4340206185567,138.46194158075602,6.068659793814433
121754_D,21:40:00,100.86769759450172,80.01920962199313,77.20386597938145,447.2399312714777,138.61371134020618,6.040292096219931
121754_D,21:45:00,100.06701030927834,80.53807560137457,77.5906529209622,446.72235395189006,140.13341924398625,5.95512027491409
121754_D,21:50:00,97.47676419965576,80.5247504302926,77.7012908777969,445.33655765920827,143.8057142857143,5.788003442340791
121754_D,21:55:00,94.81927710843374,80.7027538726334,77.81547332185886,445.78332185886404,148.53839931153183,5.621738382099828
121754_D,22:00:00,89.75043029259896,80.80590361445783,77.88196213425128,446.3897590361446,156.63755593803785,5.313562822719449
121754_D,22:05:00,90.5896551724138,80.21496551724138,77.38141379310345,445.4011379310345,156.43194827586206,5.399637931034483
121754_D,22:10:00,92.05507745266782,80.18647160068846,77.29268502581756,445.1082960413081,151.78172117039585,5.493442340791739
121754_D,22:15:00,88.08762886597938,80.37981099656358,77.40158075601374,445.2462714776632,158.67154639175257,5.239278350515464
121754_D,22:20:00,86.5721649484536,80.33785223367697,77.33201030927836,445.22001718213056,162.41252577319588,5.161116838487972
121754_D,22:25:00,84.25429553264605,80.31402061855671,77.40701030927835,444.5255326460481,165.04676975945017,5.017955326460481
121754_D,22:30:00,80.0807560137457,80.99685567010309,78.00890034364261,446.0297079037801,175.10790378006874,4.7396735395189
121754_D,22:35:00,79.27319587628865,80.93819587628866,77.94201030927834,445.7314261168385,177.0505326460481,4.690343642611684
121754_D,22:40:00,78.58519793459553,80.73163511187607,77.75567986230638,446.2538726333907,176.64900172117038,4.661084337349398
121754_D,22:45:00,76.09621993127148,80.98713058419244,78.10109965635738,445.593676975945,183.08594501718213,4.497491408934708
121754_D,22:50:00,72.59552495697073,80.94652323580034,77.9125473321859,446.2551462994836,191.96206540447506,4.296316695352839
121754_D,22:55:00,71.18760757314975,80.76013769363166,77.75889845094665,446.04542168674703,195.3657142857143,4.2216179001721175
121754_D,23:00:00,68.46299483648882,80.83163511187608,77.92881239242685,446.083752151463,202.8950774526678,4.056385542168675
121754_D,23:05:00,70.13769363166953,81.01055077452668,78.12776247848538,445.05798623063686,199.71325301204817,4.1407228915662655
121754_D,23:10:00,75.30862068965517,80.44951724137931,77.64703448275861,444.15508620689656,184.84775862068966,4.471275862068966
121754_D,23:15:00,76.31896551724138,80.57820689655172,77.68836206896552,442.2785517241379,180.8270172413793,4.5104482758620685
121754_D,23:20:00,72.7314974182444,80.76251290877796,77.91884681583477,441.7111531841652,191.4180034423408,4.289621342512909
121754_D,23:25:00,67.34939759036145,81.0050430292599,78.09218588640275,443.05597246127365,206.66118760757314,3.9659552495697072
121754_D,23:30:00,63.31497418244406,81.41347676419966,78.42666092943202,441.1735628227194,217.72760757314975,3.6953528399311533
